Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"PEFR4",,"Perilla frutescens (L.) Britton",beefsteakplant
"PEFRF2",,"Perilla frutescens (L.) Britton var. frutescens ",beefsteakplant
"CAST9",,"Carex styloflexa Buckley",bent sedge
"PABE4",,"Panicum bergii Arechav.",Berg's panicgrass
"ABBE",,"Abutilon berlandieri A. Gray ex S. Watson",Berlandier's Indian mallow
"LOBE3",,"Lobelia berlandieri A. DC.",Berlandier's lobelia
"LOBEB2",,"Lobelia berlandieri A. DC. var. berlandieri ",Berlandier's lobelia
"CABE6",,"Calylophus berlandieri Spach",Berlandier's sundrops
"CABEB2",,"Calylophus berlandieri Spach ssp. berlandieri ",Berlandier's sundrops
"ACOB2",,"Acleisanthes obtusa (Choisy) Standl.",Berlandier's trumpets
"LYBE",,"Lycium berlandieri Dunal",Berlandier's wolfberry
"LIBE2",,"Linum berlandieri Hook.",Berlandier's yellow flax
"LIBEB2",,"Linum berlandieri Hook. var. berlandieri ",Berlandier's yellow flax
"LIBEF",,"Linum berlandieri Hook. var. filifolium (Shinners) C.M. Rogers",Berlandier's yellow flax
"CYDA",,"Cynodon dactylon (L.) Pers.",Bermudagrass
"HABE3",,"Hackelia besseyi (Rydb.) J.L. Gentry",Bessey's stickseed
"NECA3",,"Nerisyrenia camporum (A. Gray) Greene",bicolor fanmustard
"PEHA2",,"Penstemon havardii A. Gray",Big Bend beardtongue
"ESDA",,"Escobaria dasyacantha (Engelm.) Britton & Rose",Big Bend foxtail cactus
"ESDAD",,"Escobaria dasyacantha (Engelm.) Britton & Rose var. dasyacantha ",Big Bend foxtail cactus
"XYWR",,"Xylorhiza wrightii (A. Gray) Greene",Big Bend woodyaster
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"AXFU",,"Axonopus furcatus (Flueggé) Hitchc.",big carpetgrass
"SPCY",,"Spartina cynosuroides (L.) Roth",big cordgrass
"NYAQ",,"Nymphoides aquatica (J.F. Gmel.) Kuntze",big floatingheart
"SPWR2",,"Sporobolus wrightii Munro ex Scribn.",big sacaton
"VEBR",,"Verbena bracteata Cav. ex Lag. & Rodr.",bigbract verbena
"BABI2",,"Bahia bigelovii A. Gray",Bigelow's bahia
"BIBI",,"Bidens bigelovii A. Gray",Bigelow's beggarticks
"BIBIB2",,"Bidens bigelovii A. Gray var. bigelovii ",Bigelow's beggarticks
"POBI",,"Poa bigelovii Vasey & Scribn.",Bigelow's bluegrass
"CABI6",,"Carphochaete bigelovii A. Gray",Bigelow's bristlehead
"BABI",,"Baccharis bigelovii A. Gray",Bigelow's false willow
"LEGR3",,"Lesquerella grandiflora (Hook.) S. Watson",bigflower bladderpod
"MAMA9",,"Marsilea macropoda Engelm. ex A. Braun",bigfoot waterclover
"OEMA",,"Oenothera macrocarpa Nutt.",bigfruit evening primrose
"OEMAM",,"Oenothera macrocarpa Nutt. ssp. macrocarpa ",bigfruit evening primrose
"STGR4",,"Styrax grandifolius Aiton",bigleaf snowbell
"SEHE8",,"Sesbania herbacea (Mill.) McVaugh",bigpod sesbania
"CYMA",,"Cymopterus macrorhizus Buckley",bigroot springparsley
"CUIN",,"Cuscuta indecora Choisy",bigseed alfalfa dodder
"CUINI",,"Cuscuta indecora Choisy var. indecora ",bigseed alfalfa dodder
"CUINL",,"Cuscuta indecora Choisy var. longisepala Yunck.",bigseed dodder
"CUINN",,"Cuscuta indecora Choisy var. neuropetala (Engelm.) Hitchc.",bigseed dodder
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ERHI",,"Eragrostis hirsuta (Michx.) Nees",bigtop lovegrass
"AGPA",,"Agastache pallidiflora (A. Heller) Rydb.",Bill Williams Mountain giant hyssop
"AGPAN",,"Agastache pallidiflora (A. Heller) Rydb. ssp. neomexicana (Briq.) Lint & Epling",Bill Williams Mountain giant hyssop
"AGPAH3",,"Agastache pallidiflora (A. Heller) Rydb. ssp. neomexicana (Briq.) Lint & Epling var. havardii (A. Gray) R.W. Sanders",Bill Williams Mountain giant hyssop
"CODI4",,"Commelina dianthifolia Delile",birdbill dayflower
"CODID",,"Commelina dianthifolia Delile var. dianthifolia ",birdbill dayflower
"VIPE",,"Viola pedata L.",birdfoot violet
"CAGI",,"Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.",bird-of-paradise shrub
"PHPU6",,"Phyllanthus pudens L.C. Wheeler",birdseed leaf-flower
"PATE9",,"Passiflora tenuiloba Engelm.",birdwing passionflower
"PAAM2",,"Panicum amarum Elliott",bitter panicgrass
"HYOD",,"Hymenoxys odorata DC.",bitter rubberweed
"CACO15",,"Carya cordiformis (Wangenh.) K. Koch",bitternut hickory
"PRSE2",,"Prunus serotina Ehrh.",black cherry
"PRSES",,"Prunus serotina Ehrh. var. serotina ",black cherry
"PRSEV",,"Prunus serotina Ehrh. var. virens (Wooton & Standl.) McVaugh",black cherry
"SANI4",,"Sambucus nigra L.",black elderberry
"CYNI2",,"Cyperus niger Ruiz & Pav.",black flatsedge
"BOER4",,"Bouteloua eriopoda (Torr.) Torr.",black grama
"CATE9",,"Carya texana Buckley",black hickory
"VAFU",,"Vaccinium fuscatum Aiton",black highbush blueberry
"ROPS",,"Robinia pseudoacacia L.",black locust
"AVGE",,"Avicennia germinans (L.) L.",black mangrove
"MELU",,"Medicago lupulina L.",black medick
"DAFR2",,"Dalea frutescens A. Gray",black prairie clover
"SANI",,"Salix nigra Marshall",black willow
"VARI",,"Vachellia rigidula (Benth.) Seigler & Ebinger",blackbrush acacia
"RUHI2",,"Rudbeckia hirta L.",blackeyed Susan
"CHAN5",,"Chamaesyce angusta (Engelm.) Small",blackfoot sandmat
"NYSY",,"Nyssa sylvatica Marshall",blackgum
"QUMA3",,"Quercus marilandica Münchh.",blackjack oak
"EUBI4",,"Euphorbia bilobata Engelm.",blackseed spurge
"ASRE",,"Asplenium resiliens Kunze",blackstem spleenwort
"HECR3",,"Herissantia crispa (L.) Briz.",bladdermallow
"SIMA3",,"Silybum marianum (L.) Gaertn.",blessed milkthistle
"DICO4",,"Dichanthelium consanguineum (Kunth) Gould & C.A. Clark",blood panicgrass
"SACO5",,"Salvia coccinea P.J. Buchoz ex Etlinger",blood sage
"SANIC5",,"Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli",blue elderberry
"ANCO9",,"Androstephium coeruleum (Scheele) Greene",blue funnel lily
"BOGR2",,"Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",blue grama
"LATA",,"Lactuca tatarica (L.) C.A. Mey.",blue lettuce
"LATAP",,"Lactuca tatarica (L.) C.A. Mey. var. pulchella (Pursh) Breitung",blue lettuce
"POBA",,"Polygala barbeyana Chod.",blue milkwort
"COCO13",,"Conoclinium coelestinum (L.) DC.",blue mistflower
"HELI2",,"Heteranthera limosa (Sw.) Willd.",blue mudplantain
"PAAN4",,"Panicum antidotale Retz.",blue panicum
"ARPUN",,"Aristida purpurea Nutt. var. nealleyi (Vasey) Allred",blue threeawn
"BACA",,"Bacopa caroliniana (Walter) B.L. Rob.",blue waterhyssop
"CARO2",,"Campanula rotundifolia L.",bluebell bellflower
"CRBR",,"Crataegus brachyacantha Sarg. & Engelm.",blueberry hawthorn
"CLPI",,"Clematis pitcheri Torr. & A. Gray",bluebill
"CLPID",,"Clematis pitcheri Torr. & A. Gray var. dictyota (Greene) Dennis",bluebill
"CLPIP",,"Clematis pitcheri Torr. & A. Gray var. pitcheri ",bluebill
"GIRI3",,"Giliastrum rigidulum (Benth.) Rydb.",bluebowls
"GIAC4",,"Giliastrum acerosum (A. Gray) Rydb.",bluebowls
"PSSP6",,"Pseudoroegneria spicata (Pursh) Á. Löve",bluebunch wheatgrass
"ERIN6",,"Eryngium integrifolium Walter",blueflower eryngo
"TROH",,"Tradescantia ohiensis Raf.",bluejacket
"PATE3",,"Panicum tenerum Bey. ex Trin.",bluejoint panicgrass
"CATR7",,"Carex tribuloides Wahlenb.",blunt broom sedge
"ELOB2",,"Eleocharis obtusa (Willd.) Schult.",blunt spikerush
"GAOB",,"Galium obtusum Bigelow",bluntleaf bedstraw
"GAOBO",,"Galium obtusum Bigelow ssp. obtusum ",bluntleaf bedstraw
"SEMU",,"Selaginella mutica D.C. Eaton ex Underw.",bluntleaf spikemoss
"DEOB2",,"Desmanthus obtusus S. Watson",bluntpod bundleflower
"BAPE",,"Bahia pedata A. Gray",bluntscale bahia
"VILA4",,"Viola lanceolata L.",bog white violet
"XYDI",,"Xyris difformis Chapm.",bog yelloweyed grass
"AMSC",,"Amaranthus scleropoides Uline & Bray",bonebract amaranth
"ERVI",,"Erigeron vicinus G.L. Nesom",border fleabane
"OLBO",,"Oldenlandia boscii (DC.) Chapm.",Bosc's mille graines
"DIBO2",,"Dichanthelium boscii (Poir.) Gould & C.A. Clark",Bosc's panicgrass
"LASI",,"Lagenaria siceraria (Molina) Standl.",bottle gourd
"CAHY4",,"Carex hystericina Muhl. ex Willd.",bottlebrush sedge
"ACNE2",,"Acer negundo L.",boxelder
"DIMU",,"Dioclea multiflora (Torr. & A. Gray) C. Mohr",Boykin's clusterpea
"ASBR",,"Asclepias brachystephana Engelm. ex Torr.",bract milkweed
"GAMI",,"Galium microphyllum A. Gray",bracted bedstraw
"SICI",,"Sida ciliaris L.",bracted fanpetals
"CEPU3",,"Centaurium pulchellum (Sw.) Druce",branched centaury
"DIBR2",,"Dicliptera brachiata (Pursh) Spreng.",branched foldwing
"TRRA5",,"Tragia ramosa Torr.",branched noseburn
"VABR4",,"Vachellia bravoensis (Isely) Seigler & Ebinger",Bravo acacia
"COHO",,"Condalia hookeri M.C. Johnst.",Brazilian bluewood
"VEBR2",,"Verbena brasiliensis Vell.",Brazilian vervain
"WOBR",,"Wolffia brasiliensis Weddell",Brazilian watermeal
"CHCH5",,"Chamaesyce chaetocalyx (Boiss.) Wooton & Standl.",bristlecup sandmat
"THTE7",,"Thymophylla tenuiloba (DC.) Small",bristleleaf pricklyleaf
"THTET",,"Thymophylla tenuiloba (DC.) Small var. tenuiloba ",bristleleaf pricklyleaf
"SPEC",,"Spergularia echinosperma (Celak.) Asch. & Graebn.",bristleseed sandspurry
"CYHY",,"Cyperus hystricinus Fernald",bristly flatsedge
"NAHI",,"Nama hispidum A. Gray",bristly nama
"SPEC2",,"Spermolepis echinata (Nutt. ex DC.) A. Heller",bristly scaleseed
"LYSE3",,"Lycurus setosus (Nutt.) C.G. Reeder",bristly wolfstail
"CALE10",,"Carex leptalea Wahlenb.",bristlystalked sedge
"CATE29",,"Carex tetrastachya Scheele",Britton's sedge
"TEHE",,"Tectaria heracleifolia (Willd.) Underw.",broad halberd fern
"TYLA",,"Typha latifolia L.",broadleaf cattail
"ASLA4",,"Asclepias latifolia (Torr.) Raf.",broadleaf milkweed
"URPL2",,"Urochloa platyphylla (Munro ex C. Wright) R.D. Webster",broadleaf signalgrass
"DRPL",,"Draba platycarpa Torr. & A. Gray",broadpod draba
"VUBR",,"Vulpia bromoides (L.) Gray",brome fescue
"CABR14",,"Carex bromoides Schkuhr ex Willd.",brome-like sedge
"CABRB6",,"Carex bromoides Schkuhr ex Willd. ssp. bromoides ",brome-like sedge
"POSC2",,"Polygala scoparioides Chod.",broom milkwort
"GUSA2",,"Gutierrezia sarothrae (Pursh) Britton & Rusby",broom snakeweed
"ANVI2",,"Andropogon virginicus L.",broomsedge bluestem
"ANVIV",,"Andropogon virginicus L. var. virginicus ",broomsedge bluestem
"CLBR7",,"Clinopodium brownei (Sw.) Kuntze",Browne's savory
"ACWR5",,"Acourtia wrightii (A. Gray) Reveal & R.M. King",brownfoot
"RHCA12",,"Rhynchospora capitellata (Michx.) Vahl",brownish beaksedge
"STPA4",,"Stephanomeria pauciflora (Torr.) A. Nelson",brownplume wirelettuce
"PAPL3",,"Paspalum plicatulum Michx.",brownseed paspalum
"URFU2",,"Urochloa fusca (Sw.) B.F. Hansen & Wunderlin",browntop signalgrass
"LAAC",,"Lantana achyranthifolia Desf.",brushland shrubverbena
"SORO",,"Solanum rostratum Dunal",buffalobur nightshade
"BODA2",,"Bouteloua dactyloides (Nutt.) J.T. Columbus",buffalograss
"PECI",,"Pennisetum ciliare (L.) Link",buffelgrass
"RHPH2",,"Rhynchosida physocalyx (A. Gray) Fryxell",buffpetal
"PABU",,"Panicum bulbosum Kunth",bulb panicgrass
"CABU3",,"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.",bulbous bittercress
"LUBU",,"Luzula bulbosa (Alph. Wood) Smyth & Smyth",bulbous woodrush
"PABO3",,"Paspalum boscianum Flueggé",bull crowngrass
"MUEM",,"Muhlenbergia emersleyi Vasey",bullgrass
"SALA",,"Sagittaria lancifolia L.",bulltongue arrowhead
"SALAM2",,"Sagittaria lancifolia L. ssp. media (Micheli) Bogin",bulltongue arrowhead
"RHCE",,"Rhynchospora cephalantha A. Gray",bunched beaksedge
"MEPO3",,"Medicago polymorpha L.",burclover
"BASC5",,"Bassia scoparia (L.) A.J. Scott",burningbush
"SCBR2",,"Scleropogon brevifolius Phil.",burrograss
"EUAM9",,"Euonymus americanus L.",bursting-heart
"ENCH",,"Enteropogon chlorideus (J. Presl) W.D. Clayton",buryseed umbrellagrass
"CRFR",,"Croton fruticulosus Engelm. ex Torr.",bush croton
"MUPO2",,"Muhlenbergia porteri Scribn. ex Beal",bush muhly
"FUBU",,"Fuirena bushii Kral",Bush's umbrella-sedge
"ANGL2",,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",bushy bluestem
"ERSU8",,"Eriogonum suffruticosum S. Watson",bushy buckwheat
"EULE4",,"Euthamia leptocephala (Torr. & A. Gray) Greene ex Porter & Britton",bushy goldentop
"PORA3",,"Polygonum ramosissimum Michx.",bushy knotweed
"BOFR",,"Borrichia frutescens (L.) DC.",bushy seaside tansy
"ASTU",,"Asclepias tuberosa L.",butterfly milkweed
"ASTUI",,"Asclepias tuberosa L. ssp. interior Woodson",butterfly milkweed
"ERYU",,"Eryngium yuccifolium Michx.",button eryngo
"OPEN3",,"Opuntia engelmannii Salm-Dyck ex Engelm.",cactus apple
"OPENE",,"Opuntia engelmannii Salm-Dyck ex Engelm. var. engelmannii ",cactus apple
"LAHI2",,"Lathyrus hirsutus L.",Caley pea
"SYLA4",,"Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve",calico aster
"BRCA3",,"Brickellia californica (Torr. & A. Gray) A. Gray",California brickellbush
"BRCAC",,"Brickellia californica (Torr. & A. Gray) A. Gray var. californica ",California brickellbush
"SCCA11",,"Schoenoplectus californicus (C.A. Mey.) Palla",California bulrush
"LYCA4",,"Lythrum californicum Torr. & A. Gray",California loosestrife
"PLHO",,"Plantago hookeriana Fisch. & C.A. Mey.",California plantain
"IMBR2",,"Imperata brevifolia Vasey",California satintail
"RAPH2",,"Rayjacksonia phyllocephala (DC.) R.L. Hartm. & M.A. Lane",camphor daisy
"PLCA7",,"Pluchea camphorata (L.) DC.",camphor pluchea
"CICA",,"Cinnamomum camphora (L.) J. Presl",camphortree
"HESU3",,"Heterotheca subaxillaris (Lam.) Britton & Rusby",camphorweed
"TECA3",,"Teucrium canadense L.",Canada germander
"SOAL6",,"Solidago altissima L.",Canada goldenrod
