Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"BUAM",,"Buchnera americana L.",American bluehearts
"BROV4",,"Brunnichia ovata (Walter) Shinners",American buckwheat vine
"COAM8",,"Corispermum americanum (Nutt.) Nutt.",American bugseed
"COAMR",,"Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin",American bugseed
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"SPAM",,"Sparganium americanum Nutt.",American bur-reed
"AGAM",,"Agave americana L.",American century plant
"SAST",,"Sacciolepis striata (L.) Nash",American cupscale
"ULAM",,"Ulmus americana L.",American elm
"HOIN",,"Hottonia inflata Elliott",American featherfoil
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"CACA18",,"Carpinus caroliniana Walter",American hornbeam
"GIST5",,"Gillenia stipulata (Muhl. ex Willd.) Baill.",American ipecac
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"PHLE5",,"Phryma leptostachya L.",American lopseed
"NELU",,"Nelumbo lutea Willd.",American lotus
"PHAM4",,"Phytolacca americana L.",American pokeweed
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"STAM4",,"Styrax americanus Lam.",American snowbell
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"PLOC",,"Platanus occidentalis L.",American sycamore
"FLCE",,"Flourensia cernua DC.",American tarwort
"TRCA8",,"Trixis californica Kellogg",American threefold
"VIAM",,"Vicia americana Muhl. ex Willd.",American vetch
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"JUAM",,"Justicia americana (L.) Vahl",American water-willow
"NYODO",,"Nymphaea odorata Aiton ssp. odorata ",American white waterlily
"NYOD",,"Nymphaea odorata Aiton",American white waterlily
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"WIFR",,"Wisteria frutescens (L.) Poir.",American wisteria
"HAVI4",,"Hamamelis virginiana L.",American witchhazel
"DACY",,"Dalea cylindriceps Barneby",Andean prairie clover
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHAN5",,"Rhododon angulatus (Tharp) B.L. Turner",angled sandmint
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
"LULE4",,"Ludwigia leptocarpa (Nutt.) H. Hara",anglestem primrose-willow
"DIAR5",,"Dichanthium aristatum (Poir.) C.E. Hubbard",Angleton bluestem
"MAGO",,"Matelea gonocarpos (Walter) Shinners",angularfruit milkvine
"INSU",,"Indigofera suffruticosa Mill.",anil de pasto
"SOOD",,"Solidago odora Aiton",anisescented goldenrod
"SOODO",,"Solidago odora Aiton var. odora ",anisescented goldenrod
"RARU",,"Rapistrum rugosum (L.) All.",annual bastardcabbage
"SIRO5",,"Sisyrinchium rosulatum E.P. Bicknell",annual blue-eyed grass
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
"FIAN",,"Fimbristylis annua (All.) Roem. & Schult.",annual fimbry
"IVAN2",,"Iva annua L.",annual marsh elder
"PHDR",,"Phlox drummondii Hook.",annual phlox
"PHDRD",,"Phlox drummondii Hook. ssp. drummondii ",annual phlox
"POMO5",,"Polypogon monspeliensis (L.) Desf.",annual rabbitsfoot grass
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"SULI",,"Suaeda linearis (Elliott) Moq.",annual seepweed
"AIEL4",,"Aira elegans Willd. ex Kunth",annual silver hairgrass
"FARE",,"Facelis retusa (Lam.) Sch. Bip.",annual trampweed
"ALCH",,"Allionia choisyi Standl.",annual windmills
"MEIN2",,"Melilotus indicus (L.) All.",annual yellow sweetclover
"FAPA",,"Fallugia paradoxa (D. Don) Endl. ex Torr.",Apache plume
"MESU5",,"Mentha suaveolens Ehrh.",apple mint
"ASPE",,"Asclepias perennis Walter",aquatic milkweed
"JUAR2",,"Juncus arcticus Willd.",arctic rush
"EURE5",,"Eustachys retusa (Lag.) Kunth",Argentine fingergrass
"CECA3",,"Centaurium calycosum (Buckley) Fernald",Arizona centaury
"CEAR12",,"Centaurium arizonicum (A. Gray) A. Heller",Arizona centaury
"DICA8",,"Digitaria californica (Benth.) Henr.",Arizona cottontop
"GRAR2",,"Grindelia arizonica A. Gray",Arizona gumweed
"GRARA",,"Grindelia arizonica A. Gray var. arizonica ",Arizona gumweed
"KAGR",,"Kallstroemia grandiflora Torr. ex A. Gray",Arizona poppy
"CHAR18",,"Chamaesyce arizonica (Engelm.) Arthur",Arizona sandmat
"URAR",,"Urochloa arizonica (Scribn. & Merr.) O. Morrone & F. Zuloaga",Arizona signalgrass
"FRAR2",,"Froelichia arizonica Thornb. ex Standl.",Arizona snakecotton
"SEAR2",,"Selaginella arizonica Maxon",Arizona spikemoss
"LICO9",,"Lithospermum confine I.M. Johnst.",Arizona stoneseed
"JUMA",,"Juglans major (Torr.) A. Heller",Arizona walnut
"CAAR7",,"Carlowrightia arizonica A. Gray",Arizona wrightwort
"APSK",,"Aphanostephus skirrhobasis (DC.) Trel.",Arkansas dozedaisy
"APSKS",,"Aphanostephus skirrhobasis (DC.) Trel. var. skirrhobasis ",Arkansas dozedaisy
"CHAS",,"Chaetopappa asteroides Nutt. ex DC.",Arkansas leastdaisy
"THAR",,"Thalictrum arkansanum B. Boivin",Arkansas meadow-rue
"CAAR5",,"Carex arkansana (L.H. Bailey) L.H. Bailey",Arkansas sedge
"YUAR2",,"Yucca arkansana Trel.",Arkansas yucca
"SYOB",,"Symphyotrichum oblongifolium (Nutt.) G.L. Nesom",aromatic aster
"GOSE",,"Gomphrena serrata L.",arrasa con todo
"ARPU8",,"Aristida purpurascens Poir.",arrowfeather threeawn
"CRSA4",,"Crotalaria sagittalis L.",arrowhead rattlebox
"TRVE",,"Trifolium vesiculosum Savi",arrowleaf clover
"MASA3",,"Malvella sagittifolia (A. Gray) Fryxell",arrowleaf mallow
"MASA4",,"Matelea sagittifolia (A. Gray) Woodson",arrowleaf milkvine
"POSA5",,"Polygonum sagittatum L.",arrowleaf tearthumb
"VISA2",,"Viola sagittata Aiton",arrowleaf violet
"VISAS5",,"Viola sagittata Aiton var. sagittata ",arrowleaf violet
"PLSE",,"Pluchea sericea (Nutt.) Coville",arrowweed
"TAFR",,"Talinopsis frutescens A. Gray",arroyo fameflower
"SALA6",,"Salix lasiolepis Benth.",arroyo willow
"SALAL2",,"Salix lasiolepis Benth. var. lasiolepis ",arroyo willow
"SACU",,"Sagittaria cuneata Sheldon",arumleaf arrowhead
"JUAS",,"Juniperus ashei J. Buchholz",Ashe's juniper
"CHCI2",,"Chamaesyce cinerascens (Engelm.) Small",ashy sandmat
"HEMO2",,"Helianthus mollis Lam.",ashy sunflower
"DIBI",,"Digitaria bicornis (Lam.) Roem. & Schult.",Asian crabgrass
"ATFIA2",,"Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén",asplenium ladyfern
"CASC5",,"Camassia scilloides (Raf.) Cory",Atlantic camas
"CLMA4",,"Clitoria mariana L.",Atlantic pigeonwings
"ATSE",,"Atriplex semibaccata R. Br.",Australian saltbush
"POAU",,"Poa autumnalis Muhl. ex Elliott",autumn bluegrass
"COOD7",,"Corallorhiza odontorhiza (Willd.) Poir.",autumn coralroot
"COODO2",,"Corallorhiza odontorhiza (Willd.) Poir. var. odontorhiza ",autumn coralroot
"ALST",,"Allium stellatum Fraser ex Ker Gawl.",autumn onion
"SAGR4",,"Salvia greggii A. Gray",autumn sage
"SICA7",,"Simsia calva (Engelm. & A. Gray) A. Gray",awnless bushsunflower
"MEAC",,"Mecardonia acuminata (Walter) Small",axilflower
"MEACA",,"Mecardonia acuminata (Walter) Small var. acuminata ",axilflower
"SAAZ",,"Salvia azurea Michx. ex Lam.",azure blue sage
"MEPR2",,"Mecardonia procumbens (Mill.) Small",baby jump-up
"HYVE",,"Hybanthus verticillatus (Ortega) Baill.",babyslippers
"PEBA",,"Penstemon baccharifolius Hook.",baccharisleaf beardtongue
"SEVE",,"Sesbania vesicaria (Jacq.) Elliott",bagpod
"PANO2",,"Paspalum notatum Flueggé",bahiagrass
"CHBA11",,"Chrysothamnus baileyi Wooton & Standl.",Bailey's rabbitbrush
"LUCO",,"Lupinus concinnus J. Agardh",bajada lupine
"TADI2",,"Taxodium distichum (L.) Rich.",bald cypress
"ELER",,"Eleocharis erythropoda Steud.",bald spikerush
"CYCR6",,"Cyperus croceus Vahl",Baldwin's flatsedge
"VEBA",,"Vernonia baldwinii Torr.",Baldwin's ironweed
"XYBA",,"Xyris baldwiniana Schult.",Baldwin's yelloweyed grass
"CAHA13",,"Cardiospermum halicacabum L.",balloon vine
"EPWI2",,"Epixiphium wislizeni (Engelm. ex A. Gray) Munz",balloonbush
"YUBA",,"Yucca baccata Torr.",banana yucca
"PRBA",,"Prenanthes barbata (Torr. & A. Gray) Milstead",barbed rattlesnakeroot
"ECCR",,"Echinochloa crus-galli (L.) P. Beauv.",barnyardgrass
"SYPR7",,"Symphyotrichum pratense (Raf.) G.L. Nesom",barrens silky aster
"MOCL2",,"Monarda clinopodioides A. Gray",basil beebalm
"OPHIS",,"Oplismenus hirtellus (L.) P. Beauv. ssp. setarius (Lam.) Mez ex Ekman",basketgrass
"OPHI",,"Oplismenus hirtellus (L.) P. Beauv.",basketgrass
"QUSI",,"Quercus sinuata Walter",bastard oak
"QUSIB",,"Quercus sinuata Walter var. breviloba (Torr.) C.H. Mull.",bastard oak
"COUM",,"Comandra umbellata (L.) Nutt.",bastard toadflax
"ERWR",,"Eriogonum wrightii Torr. ex Benth.",bastardsage
"ERWRW",,"Eriogonum wrightii Torr. ex Benth. var. wrightii ",bastardsage
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"CHWO",,"Cheilanthes wootonii Maxon",beaded lipfern
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"VARA",,"Valerianella radiata (L.) Dufr.",beaked cornsalad
"GLQU",,"Glandularia quandrangulata (A. Heller) Umber",beaked mock vervain
"PAAN",,"Panicum anceps Michx.",beaked panicgrass
"ELRO2",,"Eleocharis rostellata (Torr.) Torr.",beaked spikerush
"ASSC9",,"Asclepias scaposa Vail",Bear Mountain milkweed
"BIAR",,"Bidens aristosa (Michx.) Britton",bearded beggarticks
"CYSQ",,"Cyperus squarrosus L.",bearded flatsedge
"DAPO",,"Dalea pogonathera A. Gray",bearded prairie clover
"DAPOP",,"Dalea pogonathera A. Gray var. pogonathera ",bearded prairie clover
"BRER2",,"Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.",bearded shorthusk
"GYAM",,"Gymnopogon ambiguus (Michx.) Britton, Sterns & Poggenb.",bearded skeletongrass
"LEFUF",,"Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow",bearded sprangletop
"CYBA",,"Cynanchum barbigerum (Scheele) Shinners",bearded swallow-wort
"POVI9",,"Polypogon viridis (Gouan) Breistr.",beardless rabbitsfoot grass
"PEBA2",,"Penstemon barbatus (Cav.) Roth",beardlip penstemon
"HYGA",,"Hypericum galioides Lam.",bedstraw St. Johnswort
"EPVI2",,"Epifagus virginiana (L.) W.P.C. Barton",beechdrops
"FRBE2",,"Frangula betulifolia (Greene) V. Grub.",beechleaf frangula
"EUER2",,"Euphorbia eriantha Benth.",beetle spurge
"HAVI2",,"Hackelia virginiana (L.) I.M. Johnst.",beggarslice
"TRBE3",,"Trifolium bejariense Moric.",Bejar clover
"CAST9",,"Carex styloflexa Buckley",bent sedge
"CYRE2",,"Cyperus reflexus Vahl",bentawn flatsedge
"PABE4",,"Panicum bergii Arechav.",Berg's panicgrass
"CABE6",,"Calylophus berlandieri Spach",Berlandier's sundrops
"CABEB2",,"Calylophus berlandieri Spach ssp. berlandieri ",Berlandier's sundrops
"CABEP2",,"Calylophus berlandieri Spach ssp. pinifolius (Engelm. ex A. Gray) Towner",Berlandier's sundrops
"LYBE",,"Lycium berlandieri Dunal",Berlandier's wolfberry
"LYBEB",,"Lycium berlandieri Dunal var. berlandieri ",Berlandier's wolfberry
"LIBE2",,"Linum berlandieri Hook.",Berlandier's yellow flax
"LIBEB2",,"Linum berlandieri Hook. var. berlandieri ",Berlandier's yellow flax
"LIBEF",,"Linum berlandieri Hook. var. filifolium (Shinners) C.M. Rogers",Berlandier's yellow flax
"CYDA",,"Cynodon dactylon (L.) Pers.",Bermudagrass
"HABE3",,"Hackelia besseyi (Rydb.) J.L. Gentry",Bessey's stickseed
"TRBE4",,"Tragia betonicifolia Nutt.",betonyleaf noseburn
"COBE4",,"Conoclinium betonicifolium (Mill.) R.M. King & H. Rob.",betonyleaf thoroughwort
"COBEB",,"Conoclinium betonicifolium (Mill.) R.M. King & H. Rob. var. betonicifolium ",betonyleaf thoroughwort
"LALU",,"Lactuca ludoviciana (Nutt.) Riddell",biannual lettuce
"NECA3",,"Nerisyrenia camporum (A. Gray) Greene",bicolor fanmustard
"LEMI4",,"Leucophyllum minus A. Gray",Big Bend barometerbush
"PEHA2",,"Penstemon havardii A. Gray",Big Bend beardtongue
"LUHA",,"Lupinus havardii S. Watson",Big Bend bluebonnet
"ESDA",,"Escobaria dasyacantha (Engelm.) Britton & Rose",Big Bend foxtail cactus
"ESDAD",,"Escobaria dasyacantha (Engelm.) Britton & Rose var. dasyacantha ",Big Bend foxtail cactus
"GRAG3",,"Grusonia aggeria (B.E. Ralston & Hilsenb.) E.F. Anderson",Big Bend pricklypear
"GRSC6",,"Grusonia schottii (Engelm.) H. Rob.",Big Bend pricklypear
"ANER",,"Anulocaulis eriosolenus (A. Gray) Standl.",Big Bend ringstem
"THTE3",,"Thelypodium tenue Rollins",Big Bend thelypody
"XYWR",,"Xylorhiza wrightii (A. Gray) Greene",Big Bend woodyaster
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"AXFU",,"Axonopus furcatus (Flueggé) Hitchc.",big carpetgrass
"CEFOV2",,"Cerastium fontanum Baumg. ssp. vulgare (Hartm.) Greuter & Burdet",big chickweed
"SPCY",,"Spartina cynosuroides (L.) Roth",big cordgrass
"SPWR2",,"Sporobolus wrightii Munro ex Scribn.",big sacaton
"CEMY",,"Cenchrus myosuroides Kunth",big sandbur
"VEBR",,"Verbena bracteata Cav. ex Lag. & Rodr.",bigbract verbena
"ARBI3",,"Artemisia bigelovii A. Gray",Bigelow sage
"BABI2",,"Bahia bigelovii A. Gray",Bigelow's bahia
"BIBI",,"Bidens bigelovii A. Gray",Bigelow's beggarticks
"BIBIB2",,"Bidens bigelovii A. Gray var. bigelovii ",Bigelow's beggarticks
"POBI",,"Poa bigelovii Vasey & Scribn.",Bigelow's bluegrass
"CABI6",,"Carphochaete bigelovii A. Gray",Bigelow's bristlehead
"BLBI",,"Blepharidachne bigelovii (S. Watson) Hack.",Bigelow's desertgrass
"BABI",,"Baccharis bigelovii A. Gray",Bigelow's false willow
"MAMA9",,"Marsilea macropoda Engelm. ex A. Braun",bigfoot waterclover
"OEMA",,"Oenothera macrocarpa Nutt.",bigfruit evening primrose
"OEMAI2",,"Oenothera macrocarpa Nutt. ssp. incana (A. Gray) Wagner",bigfruit evening primrose
"OEMAM",,"Oenothera macrocarpa Nutt. ssp. macrocarpa ",bigfruit evening primrose
"EVPR",,"Evax prolifera Nutt. ex DC.",bighead pygmycudweed
"JUME",,"Juncus megacephalus M.A. Curtis",bighead rush
"VIMA",,"Vinca major L.",bigleaf periwinkle
"SEHE8",,"Sesbania herbacea (Mill.) McVaugh",bigpod sesbania
"CYMA",,"Cymopterus macrorhizus Buckley",bigroot springparsley
"CUIN",,"Cuscuta indecora Choisy",bigseed alfalfa dodder
"CUINL",,"Cuscuta indecora Choisy var. longisepala Yunck.",bigseed dodder
"CUINN",,"Cuscuta indecora Choisy var. neuropetala (Engelm.) Hitchc.",bigseed dodder
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ERHI",,"Eragrostis hirsuta (Michx.) Nees",bigtop lovegrass
"CODI4",,"Commelina dianthifolia Delile",birdbill dayflower
"CODID",,"Commelina dianthifolia Delile var. dianthifolia ",birdbill dayflower
"VIPE",,"Viola pedata L.",birdfoot violet
"CAGI",,"Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.",bird-of-paradise shrub
"PHPU6",,"Phyllanthus pudens L.C. Wheeler",birdseed leaf-flower
"PATE9",,"Passiflora tenuiloba Engelm.",birdwing passionflower
"HYOD",,"Hymenoxys odorata DC.",bitter rubberweed
"SCNI",,"Schoenus nigricans L.",black bogrush
"PRSE2",,"Prunus serotina Ehrh.",black cherry
"PRSEE",,"Prunus serotina Ehrh. var. eximia (Small) Little",black cherry
"PRSES",,"Prunus serotina Ehrh. var. serotina ",black cherry
"PRSEV",,"Prunus serotina Ehrh. var. virens (Wooton & Standl.) McVaugh",black cherry
"SANI4",,"Sambucus nigra L.",black elderberry
"CYNI2",,"Cyperus niger Ruiz & Pav.",black flatsedge
"BOER4",,"Bouteloua eriopoda (Torr.) Torr.",black grama
"CATE9",,"Carya texana Buckley",black hickory
"VAFU",,"Vaccinium fuscatum Aiton",black highbush blueberry
"ROPS",,"Robinia pseudoacacia L.",black locust
"MELU",,"Medicago lupulina L.",black medick
"QUVE",,"Quercus velutina Lam.",black oak
"DAFR2",,"Dalea frutescens A. Gray",black prairie clover
"JUNI",,"Juglans nigra L.",black walnut
"SANI",,"Salix nigra Marshall",black willow
"RUHI2",,"Rudbeckia hirta L.",blackeyed Susan
"ISME",,"Isoetes melanopoda Gay & Durieu ex Durieu",blackfoot quillwort
"CHAN5",,"Chamaesyce angusta (Engelm.) Small",blackfoot sandmat
"NYSY",,"Nyssa sylvatica Marshall",blackgum
"QUMA3",,"Quercus marilandica Münchh.",blackjack oak
"PIAV",,"Piptochaetium avenaceum (L.) Parodi",blackseed speargrass
"ASRE",,"Asplenium resiliens Kunze",blackstem spleenwort
"HECR3",,"Herissantia crispa (L.) Briz.",bladdermallow
"LIAE3",,"Liatris aestivalis G.L. Nesom & R. O'Kennon",blazing star
"OPRU3",,"Opuntia rufida Engelm.",blind pricklypear
"RARE2",,"Ranunculus recurvatus Poir.",blisterwort
"RARER2",,"Ranunculus recurvatus Poir. var. recurvatus ",blisterwort
"SACO5",,"Salvia coccinea P.J. Buchoz ex Etlinger",blood sage
"TRRE5",,"Trillium recurvatum Beck",bloody butcher
"REFL",,"Redfieldia flexuosa (Thurb.) Vasey",blowout grass
"SANIC5",,"Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli",blue elderberry
"SHAR2",,"Sherardia arvensis L.",blue fieldmadder
"BOGR2",,"Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",blue grama
"LATA",,"Lactuca tatarica (L.) C.A. Mey.",blue lettuce
"LATAP",,"Lactuca tatarica (L.) C.A. Mey. var. pulchella (Pursh) Breitung",blue lettuce
"POBA",,"Polygala barbeyana Chod.",blue milkwort
"COCO13",,"Conoclinium coelestinum (L.) DC.",blue mistflower
"HELI2",,"Heteranthera limosa (Sw.) Willd.",blue mudplantain
"PAAN4",,"Panicum antidotale Retz.",blue panicum
"CAGL6",,"Carex glaucodea Tuck. ex Olney",blue sedge
"SCLA2",,"Scutellaria lateriflora L.",blue skullcap
"SCLAL2",,"Scutellaria lateriflora L. var. lateriflora ",blue skullcap
"ARPUN",,"Aristida purpurea Nutt. var. nealleyi (Vasey) Allred",blue threeawn
"CARO2",,"Campanula rotundifolia L.",bluebell bellflower
"CRBR",,"Crataegus brachyacantha Sarg. & Engelm.",blueberry hawthorn
"CLPI",,"Clematis pitcheri Torr. & A. Gray",bluebill
"CLPID",,"Clematis pitcheri Torr. & A. Gray var. dictyota (Greene) Dennis",bluebill
"CLPIP",,"Clematis pitcheri Torr. & A. Gray var. pitcheri ",bluebill
"GIAC4",,"Giliastrum acerosum (A. Gray) Rydb.",bluebowls
"GIRI3",,"Giliastrum rigidulum (Benth.) Rydb.",bluebowls
"ERIN6",,"Eryngium integrifolium Walter",blueflower eryngo
"QUIN",,"Quercus incana W. Bartram",bluejack oak
"TROH",,"Tradescantia ohiensis Raf.",bluejacket
"ARAL3",,"Argemone albiflora Hornem.",bluestem pricklypoppy
"ARALT",,"Argemone albiflora Hornem. ssp. texana G.B. Ownbey",bluestem pricklypoppy
"PEAG",,"Perityle aglossa A. Gray",bluff rockdaisy
"CATR7",,"Carex tribuloides Wahlenb.",blunt broom sedge
"CATRS2",,"Carex tribuloides Wahlenb. var. sangamonensis Clokey",blunt broom sedge
"ELOB2",,"Eleocharis obtusa (Willd.) Schult.",blunt spikerush
"GAOB",,"Galium obtusum Bigelow",bluntleaf bedstraw
"GAOBO",,"Galium obtusum Bigelow ssp. obtusum ",bluntleaf bedstraw
"SEMU",,"Selaginella mutica D.C. Eaton ex Underw.",bluntleaf spikemoss
"WOOB2",,"Woodsia obtusa (Spreng.) Torr.",bluntlobe cliff fern
"WOOBO",,"Woodsia obtusa (Spreng.) Torr. ssp. obtusa ",bluntlobe cliff fern
"DEOB2",,"Desmanthus obtusus S. Watson",bluntpod bundleflower
"BAPE",,"Bahia pedata A. Gray",bluntscale bahia
"POSE6",,"Polygonum setaceum Baldw.",bog smartweed
"VILA4",,"Viola lanceolata L.",bog white violet
"VILAL",,"Viola lanceolata L. ssp. lanceolata ",bog white violet
"VILAV",,"Viola lanceolata L. ssp. vittata (Greene) N.H. Russell",bog white violet
"ROPA2",,"Rorippa palustris (L.) Besser",bog yellowcress
"XYDI",,"Xyris difformis Chapm.",bog yelloweyed grass
"AMSC",,"Amaranthus scleropoides Uline & Bray",bonebract amaranth
"CHGO3",,"Chamaesyce golondrina (L.C. Wheeler) Shinners",boquillas sandmat
"OLBO",,"Oldenlandia boscii (DC.) Chapm.",Bosc's mille graines
"DIBO2",,"Dichanthelium boscii (Poir.) Gould & C.A. Clark",Bosc's panicgrass
"NEEX",,"Nephrolepis exaltata (L.) Schott",Boston swordfern
"NEEXE",,"Nephrolepis exaltata (L.) Schott ssp. exaltata ",Boston swordfern
"CAHY4",,"Carex hystericina Muhl. ex Willd.",bottlebrush sedge
"ACNE2",,"Acer negundo L.",boxelder
"DIMU",,"Dioclea multiflora (Torr. & A. Gray) C. Mohr",Boykin's clusterpea
"ASBR",,"Asclepias brachystephana Engelm. ex Torr.",bract milkweed
"GAMI",,"Galium microphyllum A. Gray",bracted bedstraw
"SICI",,"Sida ciliaris L.",bracted fanpetals
"STBR",,"Streptanthus bracteatus A. Gray",bracted jewelflower
"MENU",,"Mentzelia nuda (Pursh) Torr. & A. Gray",bractless blazingstar
"DIBR2",,"Dicliptera brachiata (Pursh) Spreng.",branched foldwing
"TRRA5",,"Tragia ramosa Torr.",branched noseburn
"VABR4",,"Vachellia bravoensis (Isely) Seigler & Ebinger",Bravo acacia
"VEBR2",,"Verbena brasiliensis Vell.",Brazilian vervain
"ASBR7",,"Astragalus brazoensis Buckley",Brazos milkvetch
"YUNE",,"Yucca necopina Shinners",Brazos River yucca
"CHCH5",,"Chamaesyce chaetocalyx (Boiss.) Wooton & Standl.",bristlecup sandmat
"THTE7",,"Thymophylla tenuiloba (DC.) Small",bristleleaf pricklyleaf
"THTET",,"Thymophylla tenuiloba (DC.) Small var. tenuiloba ",bristleleaf pricklyleaf
"SPEC",,"Spergularia echinosperma (Celak.) Asch. & Graebn.",bristleseed sandspurry
"RAHI",,"Ranunculus hispidus Michx.",bristly buttercup
"RAHIN",,"Ranunculus hispidus Michx. var. nitidus (Chapm.) T. Duncan",bristly buttercup
"CYHY",,"Cyperus hystricinus Fernald",bristly flatsedge
"LEHI",,"Leontodon hispidus L.",bristly hawkbit
"NAHI",,"Nama hispidum A. Gray",bristly nama
"SPEC2",,"Spermolepis echinata (Nutt. ex DC.) A. Heller",bristly scaleseed
"LYSE3",,"Lycurus setosus (Nutt.) C.G. Reeder",bristly wolfstail
"CALE10",,"Carex leptalea Wahlenb.",bristlystalked sedge
"OPFR",,"Opuntia fragilis (Nutt.) Haw.",brittle pricklypear
"CATE29",,"Carex tetrastachya Scheele",Britton's sedge
"PHHE11",,"Phegopteris hexagonoptera (Michx.) Fée",broad beechfern
"SALA2",,"Sagittaria latifolia Willd.",broadleaf arrowhead
"AXCO",,"Axonopus compressus (Sw.) P. Beauv.",broadleaf carpetgrass
"TYLA",,"Typha latifolia L.",broadleaf cattail
"ASLA4",,"Asclepias latifolia (Torr.) Raf.",broadleaf milkweed
"STST20",,"Stuckenia striata (Ruiz & Pav.) Holub",broadleaf pondweed
"URPL2",,"Urochloa platyphylla (Munro ex C. Wright) R.D. Webster",broadleaf signalgrass
"DRPL",,"Draba platycarpa Torr. & A. Gray",broadpod draba
"STPL2",,"Streptanthus platycarpus A. Gray",broadpod jewelflower
"CALA76",,"Carex lativena S.D. Jones & G.D. Jones",broadvein sedge
"VUBR",,"Vulpia bromoides (L.) Gray",brome fescue
"PAAC4",,"Paspalum acuminatum Raddi",brook crowngrass
"POSC2",,"Polygala scoparioides Chod.",broom milkwort
"GUSA2",,"Gutierrezia sarothrae (Pursh) Britton & Rusby",broom snakeweed
