Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AIEL4",,"Aira elegans Willd. ex Kunth",annual silver hairgrass
"FARE",,"Facelis retusa (Lam.) Sch. Bip.",annual trampweed
"DIMU2",,"Diplotaxis muralis (L.) DC.",annual wallrocket
"MEIN2",,"Melilotus indicus (L.) All.",annual yellow sweetclover
"FAPA",,"Fallugia paradoxa (D. Don) Endl. ex Torr.",Apache plume
"MUUT",,"Muhlenbergia utilis (Torr.) Hitchc.",aparejograss
"ASPE",,"Asclepias perennis Walter",aquatic milkweed
"SECO9",,"Senna corymbosa (Lam.) Irwin & Barneby",Argentine senna
"CECA3",,"Centaurium calycosum (Buckley) Fernald",Arizona centaury
"DICA8",,"Digitaria californica (Benth.) Henr.",Arizona cottontop
"URAR",,"Urochloa arizonica (Scribn. & Merr.) O. Morrone & F. Zuloaga",Arizona signalgrass
"JUMA",,"Juglans major (Torr.) A. Heller",Arizona walnut
"APSK",,"Aphanostephus skirrhobasis (DC.) Trel.",Arkansas dozedaisy
"APSKK",,"Aphanostephus skirrhobasis (DC.) Trel. var. kidderi (S.F. Blake) B.L. Turner",Arkansas dozedaisy
"APSKS",,"Aphanostephus skirrhobasis (DC.) Trel. var. skirrhobasis ",Arkansas dozedaisy
"APSKT",,"Aphanostephus skirrhobasis (DC.) Trel. var. thalassius Shinners",Arkansas dozedaisy
"CHAS",,"Chaetopappa asteroides Nutt. ex DC.",Arkansas leastdaisy
"CAAR5",,"Carex arkansana (L.H. Bailey) L.H. Bailey",Arkansas sedge
"YUAR2",,"Yucca arkansana Trel.",Arkansas yucca
"SYOB",,"Symphyotrichum oblongifolium (Nutt.) G.L. Nesom",aromatic aster
"ARPU8",,"Aristida purpurascens Poir.",arrowfeather threeawn
"CRSA4",,"Crotalaria sagittalis L.",arrowhead rattlebox
"TRVE",,"Trifolium vesiculosum Savi",arrowleaf clover
"MASA4",,"Matelea sagittifolia (A. Gray) Woodson",arrowleaf milkvine
"POSA5",,"Polygonum sagittatum L.",arrowleaf tearthumb
"VISA2",,"Viola sagittata Aiton",arrowleaf violet
"VISAS5",,"Viola sagittata Aiton var. sagittata ",arrowleaf violet
"JUAS",,"Juniperus ashei J. Buchholz",Ashe's juniper
"THTE8",,"Thymophylla tephroleuca (S.F. Blake) Strother",ashy pricklyleaf
"CHCI2",,"Chamaesyce cinerascens (Engelm.) Small",ashy sandmat
"HEMO2",,"Helianthus mollis Lam.",ashy sunflower
"DIBI",,"Digitaria bicornis (Lam.) Roem. & Schult.",Asian crabgrass
"CLTE3",,"Clitoria ternatea L.",Asian pigeonwings
"DIMI",,"Dichondra micrantha Urb.",Asian ponysfoot
"COCO3",,"Commelina communis L.",Asiatic dayflower
"ATFIA2",,"Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén",asplenium ladyfern
"CASC5",,"Camassia scilloides (Raf.) Cory",Atlantic camas
"SOAR",,"Solidago arguta Aiton",Atlantic goldenrod
"CLMA4",,"Clitoria mariana L.",Atlantic pigeonwings
"POAU",,"Poa autumnalis Muhl. ex Elliott",autumn bluegrass
"ALST",,"Allium stellatum Fraser ex Ker Gawl.",autumn onion
"SAGR4",,"Salvia greggii A. Gray",autumn sage
"LIAR6",,"Lipocarpha aristulata (Coville) G. Tucker",awned halfchaff sedge
"SICA7",,"Simsia calva (Engelm. & A. Gray) A. Gray",awnless bushsunflower
"MEAC",,"Mecardonia acuminata (Walter) Small",axilflower
"MEACA",,"Mecardonia acuminata (Walter) Small var. acuminata ",axilflower
"SAAZ",,"Salvia azurea Michx. ex Lam.",azure blue sage
"SAAZA",,"Salvia azurea Michx. ex Lam. var. azurea ",azure blue sage
"MEPR2",,"Mecardonia procumbens (Mill.) Small",baby jump-up
"HYVE",,"Hybanthus verticillatus (Ortega) Baill.",babyslippers
"PEBA",,"Penstemon baccharifolius Hook.",baccharisleaf beardtongue
"SEVE",,"Sesbania vesicaria (Jacq.) Elliott",bagpod
"PANO2",,"Paspalum notatum Flueggé",bahiagrass
"BRRA2",,"Bromus racemosus L.",bald brome
"TADI2",,"Taxodium distichum (L.) Rich.",bald cypress
"ELER",,"Eleocharis erythropoda Steud.",bald spikerush
"CYCR6",,"Cyperus croceus Vahl",Baldwin's flatsedge
"VEBA",,"Vernonia baldwinii Torr.",Baldwin's ironweed
"SCBA2",,"Scleria baldwinii (Torr.) Steud.",Baldwin's nutrush
"ELBA2",,"Eleocharis baldwinii (Torr.) Chapm.",Baldwin's spikerush
"XYBA",,"Xyris baldwiniana Schult.",Baldwin's yelloweyed grass
"CAHA13",,"Cardiospermum halicacabum L.",balloon vine
"YUBA",,"Yucca baccata Torr.",banana yucca
"GACO7",,"Gaillardia coahuilensis B.L. Turner",bandanna daisy
"PRBA",,"Prenanthes barbata (Torr. & A. Gray) Milstead",barbed rattlesnakeroot
"ECCR",,"Echinochloa crus-galli (L.) P. Beauv.",barnyardgrass
"SYPR7",,"Symphyotrichum pratense (Raf.) G.L. Nesom",barrens silky aster
"HEPA3",,"Helietta parvifolia (A. Gray ex Hemsl.) Benth.",barreta
"MOCL2",,"Monarda clinopodioides A. Gray",basil beebalm
"CARE3",,"Campanula reverchonii A. Gray",basin bellflower
"OPHIS",,"Oplismenus hirtellus (L.) P. Beauv. ssp. setarius (Lam.) Mez ex Ekman",basketgrass
"OPHI",,"Oplismenus hirtellus (L.) P. Beauv.",basketgrass
"QUSI",,"Quercus sinuata Walter",bastard oak
"QUSIB",,"Quercus sinuata Walter var. breviloba (Torr.) C.H. Mull.",bastard oak
"QUSIS",,"Quercus sinuata Walter var. sinuata ",bastard oak
"COUM",,"Comandra umbellata (L.) Nutt.",bastard toadflax
"OEDR",,"Oenothera drummondii Hook.",beach evening primrose
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"VARA",,"Valerianella radiata (L.) Dufr.",beaked cornsalad
"GLQU",,"Glandularia quandrangulata (A. Heller) Umber",beaked mock vervain
"PAAN",,"Panicum anceps Michx.",beaked panicgrass
"ELRO2",,"Eleocharis rostellata (Torr.) Torr.",beaked spikerush
"BIAR",,"Bidens aristosa (Michx.) Britton",bearded beggarticks
"CYSQ",,"Cyperus squarrosus L.",bearded flatsedge
"DAPO",,"Dalea pogonathera A. Gray",bearded prairie clover
"DAPOP",,"Dalea pogonathera A. Gray var. pogonathera ",bearded prairie clover
"BRER2",,"Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.",bearded shorthusk
"GYAM",,"Gymnopogon ambiguus (Michx.) Britton, Sterns & Poggenb.",bearded skeletongrass
"LEFUF",,"Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow",bearded sprangletop
"CYBA",,"Cynanchum barbigerum (Scheele) Shinners",bearded swallow-wort
"POVI9",,"Polypogon viridis (Gouan) Breistr.",beardless rabbitsfoot grass
"HYGA",,"Hypericum galioides Lam.",bedstraw St. Johnswort
"EPVI2",,"Epifagus virginiana (L.) W.P.C. Barton",beechdrops
"PEFRF2",,"Perilla frutescens (L.) Britton var. frutescens ",beefsteakplant
"PEFR4",,"Perilla frutescens (L.) Britton",beefsteakplant
"HAVI2",,"Hackelia virginiana (L.) I.M. Johnst.",beggarslice
"TRBE3",,"Trifolium bejariense Moric.",Bejar clover
"CAST9",,"Carex styloflexa Buckley",bent sedge
"CYRE2",,"Cyperus reflexus Vahl",bentawn flatsedge
"ECBE",,"Echinocereus berlandieri (Engelm.) Haage",Berlandier's hedgehog cactus
"ABBE",,"Abutilon berlandieri A. Gray ex S. Watson",Berlandier's Indian mallow
"LOBE3",,"Lobelia berlandieri A. DC.",Berlandier's lobelia
"LOBEB",,"Lobelia berlandieri A. DC. var. brachypoda (A. Gray) McVaugh",Berlandier's lobelia
"LOBEB2",,"Lobelia berlandieri A. DC. var. berlandieri ",Berlandier's lobelia
"JACA3",,"Jatropha cathartica Terán & Berl.",Berlandier's nettlespurge
"CABE6",,"Calylophus berlandieri Spach",Berlandier's sundrops
"CABEB2",,"Calylophus berlandieri Spach ssp. berlandieri ",Berlandier's sundrops
"CABEP2",,"Calylophus berlandieri Spach ssp. pinifolius (Engelm. ex A. Gray) Towner",Berlandier's sundrops
"ACOB2",,"Acleisanthes obtusa (Choisy) Standl.",Berlandier's trumpets
"LYBE",,"Lycium berlandieri Dunal",Berlandier's wolfberry
"LIBE2",,"Linum berlandieri Hook.",Berlandier's yellow flax
"LIBEB2",,"Linum berlandieri Hook. var. berlandieri ",Berlandier's yellow flax
"LIBEF",,"Linum berlandieri Hook. var. filifolium (Shinners) C.M. Rogers",Berlandier's yellow flax
"CYDA",,"Cynodon dactylon (L.) Pers.",Bermudagrass
"TRBE4",,"Tragia betonicifolia Nutt.",betonyleaf noseburn
"COBE4",,"Conoclinium betonicifolium (Mill.) R.M. King & H. Rob.",betonyleaf thoroughwort
"COBEB",,"Conoclinium betonicifolium (Mill.) R.M. King & H. Rob. var. betonicifolium ",betonyleaf thoroughwort
"LALU",,"Lactuca ludoviciana (Nutt.) Riddell",biannual lettuce
"NECA3",,"Nerisyrenia camporum (A. Gray) Greene",bicolor fanmustard
"GRSC6",,"Grusonia schottii (Engelm.) H. Rob.",Big Bend pricklypear
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"AXFU",,"Axonopus furcatus (Flueggé) Hitchc.",big carpetgrass
"CEFOV2",,"Cerastium fontanum Baumg. ssp. vulgare (Hartm.) Greuter & Burdet",big chickweed
"NYAQ",,"Nymphoides aquatica (J.F. Gmel.) Kuntze",big floatingheart
"SPWR2",,"Sporobolus wrightii Munro ex Scribn.",big sacaton
"CEMY",,"Cenchrus myosuroides Kunth",big sandbur
"VEBR",,"Verbena bracteata Cav. ex Lag. & Rodr.",bigbract verbena
"POBI",,"Poa bigelovii Vasey & Scribn.",Bigelow's bluegrass
"BLBI",,"Blepharidachne bigelovii (S. Watson) Hack.",Bigelow's desertgrass
"LEGR3",,"Lesquerella grandiflora (Hook.) S. Watson",bigflower bladderpod
"MAMA9",,"Marsilea macropoda Engelm. ex A. Braun",bigfoot waterclover
"OEMA",,"Oenothera macrocarpa Nutt.",bigfruit evening primrose
"OEMAI2",,"Oenothera macrocarpa Nutt. ssp. incana (A. Gray) Wagner",bigfruit evening primrose
"OEMAM",,"Oenothera macrocarpa Nutt. ssp. macrocarpa ",bigfruit evening primrose
"EVPR",,"Evax prolifera Nutt. ex DC.",bighead pygmycudweed
"VIMA",,"Vinca major L.",bigleaf periwinkle
"STGR4",,"Styrax grandifolius Aiton",bigleaf snowbell
"SEHE8",,"Sesbania herbacea (Mill.) McVaugh",bigpod sesbania
"CYMA",,"Cymopterus macrorhizus Buckley",bigroot springparsley
"CUIN",,"Cuscuta indecora Choisy",bigseed alfalfa dodder
"CUINN",,"Cuscuta indecora Choisy var. neuropetala (Engelm.) Hitchc.",bigseed dodder
"ERHI",,"Eragrostis hirsuta (Michx.) Nees",bigtop lovegrass
"VEPE3",,"Veronica persica Poir.",birdeye speedwell
"VIPE",,"Viola pedata L.",birdfoot violet
"CAGI",,"Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.",bird-of-paradise shrub
"PATE9",,"Passiflora tenuiloba Engelm.",birdwing passionflower
"PAAM2",,"Panicum amarum Elliott",bitter panicgrass
"HYOD",,"Hymenoxys odorata DC.",bitter rubberweed
"CACO15",,"Carya cordiformis (Wangenh.) K. Koch",bitternut hickory
"PHNI80",,"Phyllostachys nigra (Lodd. ex Lindl.) Munro",black bamboo
"POCO10",,"Polygonum convolvulus L.",black bindweed
"POCOC2",,"Polygonum convolvulus L. var. convolvulus ",black bindweed
"PRSE2",,"Prunus serotina Ehrh.",black cherry
"PRSEE",,"Prunus serotina Ehrh. var. eximia (Small) Little",black cherry
"PRSES",,"Prunus serotina Ehrh. var. serotina ",black cherry
"CANI3",,"Carex nigromarginata Schwein.",black edge sedge
"SANI4",,"Sambucus nigra L.",black elderberry
"BOER4",,"Bouteloua eriopoda (Torr.) Torr.",black grama
"VAFU",,"Vaccinium fuscatum Aiton",black highbush blueberry
"ROPS",,"Robinia pseudoacacia L.",black locust
"MELU",,"Medicago lupulina L.",black medick
"QUVE",,"Quercus velutina Lam.",black oak
"DAFR2",,"Dalea frutescens A. Gray",black prairie clover
"JUNI",,"Juglans nigra L.",black walnut
"SANI",,"Salix nigra Marshall",black willow
"VARI",,"Vachellia rigidula (Benth.) Seigler & Ebinger",blackbrush acacia
"MEOR2",,"Medicago orbicularis (L.) Bartal.",blackdisk medick
"RUHI2",,"Rudbeckia hirta L.",blackeyed Susan
"ISME",,"Isoetes melanopoda Gay & Durieu ex Durieu",blackfoot quillwort
"CHAN5",,"Chamaesyce angusta (Engelm.) Small",blackfoot sandmat
"NYSY",,"Nyssa sylvatica Marshall",blackgum
"VIPR",,"Viburnum prunifolium L.",blackhaw
"QUMA3",,"Quercus marilandica Münchh.",blackjack oak
"PIAV",,"Piptochaetium avenaceum (L.) Parodi",blackseed speargrass
"GLCO3",,"Glaucium corniculatum (L.) J.H. Rudolph",blackspot hornpoppy
"ASRE",,"Asplenium resiliens Kunze",blackstem spleenwort
"HECR3",,"Herissantia crispa (L.) Briz.",bladdermallow
"LIAE3",,"Liatris aestivalis G.L. Nesom & R. O'Kennon",blazing star
"SIMA3",,"Silybum marianum (L.) Gaertn.",blessed milkthistle
"RARE2",,"Ranunculus recurvatus Poir.",blisterwort
"RARER2",,"Ranunculus recurvatus Poir. var. recurvatus ",blisterwort
"SACO5",,"Salvia coccinea P.J. Buchoz ex Etlinger",blood sage
"ADAN",,"Adonis annua L.",blooddrops
"SACA13",,"Sanguinaria canadensis L.",bloodroot
"REFL",,"Redfieldia flexuosa (Thurb.) Vasey",blowout grass
"SHAR2",,"Sherardia arvensis L.",blue fieldmadder
"ANCO9",,"Androstephium coeruleum (Scheele) Greene",blue funnel lily
"BOGR2",,"Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",blue grama
"POBA",,"Polygala barbeyana Chod.",blue milkwort
"COCO13",,"Conoclinium coelestinum (L.) DC.",blue mistflower
"HELI2",,"Heteranthera limosa (Sw.) Willd.",blue mudplantain
"PAAN4",,"Panicum antidotale Retz.",blue panicum
"SMLA3",,"Smilax lasioneura Hook.",Blue Ridge carrionflower
"ARPUN",,"Aristida purpurea Nutt. var. nealleyi (Vasey) Allred",blue threeawn
"BAAU",,"Baptisia australis (L.) R. Br.",blue wild indigo
"BAAUM",,"Baptisia australis (L.) R. Br. var. minor (Lehm.) Fernald",blue wild indigo
"CRBR",,"Crataegus brachyacantha Sarg. & Engelm.",blueberry hawthorn
"CLPI",,"Clematis pitcheri Torr. & A. Gray",bluebill
"CLPIP",,"Clematis pitcheri Torr. & A. Gray var. pitcheri ",bluebill
"GIAC4",,"Giliastrum acerosum (A. Gray) Rydb.",bluebowls
"GIRI3",,"Giliastrum rigidulum (Benth.) Rydb.",bluebowls
"ERIN6",,"Eryngium integrifolium Walter",blueflower eryngo
"QUIN",,"Quercus incana W. Bartram",bluejack oak
"TROH",,"Tradescantia ohiensis Raf.",bluejacket
"PATE3",,"Panicum tenerum Bey. ex Trin.",bluejoint panicgrass
"ARAL3",,"Argemone albiflora Hornem.",bluestem pricklypoppy
"ARALT",,"Argemone albiflora Hornem. ssp. texana G.B. Ownbey",bluestem pricklypoppy
"PEAG",,"Perityle aglossa A. Gray",bluff rockdaisy
"CATR7",,"Carex tribuloides Wahlenb.",blunt broom sedge
"ELOB2",,"Eleocharis obtusa (Willd.) Schult.",blunt spikerush
"WOOB2",,"Woodsia obtusa (Spreng.) Torr.",bluntlobe cliff fern
"WOOBO",,"Woodsia obtusa (Spreng.) Torr. ssp. obtusa ",bluntlobe cliff fern
"DEOB2",,"Desmanthus obtusus S. Watson",bluntpod bundleflower
"BAPE",,"Bahia pedata A. Gray",bluntscale bahia
"VILA4",,"Viola lanceolata L.",bog white violet
"VILAL",,"Viola lanceolata L. ssp. lanceolata ",bog white violet
"VILAV",,"Viola lanceolata L. ssp. vittata (Greene) N.H. Russell",bog white violet
"ROPA2",,"Rorippa palustris (L.) Besser",bog yellowcress
"XYDI",,"Xyris difformis Chapm.",bog yelloweyed grass
"AMSC",,"Amaranthus scleropoides Uline & Bray",bonebract amaranth
"OPAT",,"Opuntia atrispina Griffiths",border pricklypear
"OLBO",,"Oldenlandia boscii (DC.) Chapm.",Bosc's mille graines
"DIBO2",,"Dichanthelium boscii (Poir.) Gould & C.A. Clark",Bosc's panicgrass
"CAHY4",,"Carex hystericina Muhl. ex Willd.",bottlebrush sedge
"SAOF4",,"Saponaria officinalis L.",bouncingbet
"ACNE2",,"Acer negundo L.",boxelder
"CIBR3",,"Citharexylum brachyanthum (A. Gray) A. Gray",boxthorn fiddlewood
"DIMU",,"Dioclea multiflora (Torr. & A. Gray) C. Mohr",Boykin's clusterpea
"SICI",,"Sida ciliaris L.",bracted fanpetals
"STBR",,"Streptanthus bracteatus A. Gray",bracted jewelflower
"PAAF",,"Passiflora affinis Engelm.",bracted passionflower
"MENU",,"Mentzelia nuda (Pursh) Torr. & A. Gray",bractless blazingstar
"DIBR2",,"Dicliptera brachiata (Pursh) Spreng.",branched foldwing
"TRRA5",,"Tragia ramosa Torr.",branched noseburn
"VABR4",,"Vachellia bravoensis (Isely) Seigler & Ebinger",Bravo acacia
"COHO",,"Condalia hookeri M.C. Johnst.",Brazilian bluewood
"VEBR2",,"Verbena brasiliensis Vell.",Brazilian vervain
"WOBR",,"Wolffia brasiliensis Weddell",Brazilian watermeal
"ASBR7",,"Astragalus brazoensis Buckley",Brazos milkvetch
"YUNE",,"Yucca necopina Shinners",Brazos River yucca
"ARPE4",,"Arabis petiolaris (A. Gray) A. Gray",Brazos rockcress
"THTE7",,"Thymophylla tenuiloba (DC.) Small",bristleleaf pricklyleaf
"THTET",,"Thymophylla tenuiloba (DC.) Small var. tenuiloba ",bristleleaf pricklyleaf
"SPEC",,"Spergularia echinosperma (Celak.) Asch. & Graebn.",bristleseed sandspurry
"CYHY",,"Cyperus hystricinus Fernald",bristly flatsedge
"SMTA2",,"Smilax tamnoides L.",bristly greenbrier
"NAHI",,"Nama hispidum A. Gray",bristly nama
"SPEC2",,"Spermolepis echinata (Nutt. ex DC.) A. Heller",bristly scaleseed
"POHI2",,"Polygonum hispidum Kunth",bristly smartweed
"CALE10",,"Carex leptalea Wahlenb.",bristlystalked sedge
"CATE29",,"Carex tetrastachya Scheele",Britton's sedge
"RUCA19",,"Ruellia caerulea Morong",Britton's wild petunia
"PHHE11",,"Phegopteris hexagonoptera (Michx.) Fée",broad beechfern
"SALA2",,"Sagittaria latifolia Willd.",broadleaf arrowhead
"TYLA",,"Typha latifolia L.",broadleaf cattail
"ASLA4",,"Asclepias latifolia (Torr.) Raf.",broadleaf milkweed
"URPL2",,"Urochloa platyphylla (Munro ex C. Wright) R.D. Webster",broadleaf signalgrass
"DRPL",,"Draba platycarpa Torr. & A. Gray",broadpod draba
"STPL2",,"Streptanthus platycarpus A. Gray",broadpod jewelflower
"POBR21",,"Pomaria brachycarpa (A. Gray) B. Simpson",broadpod nicker
"CABR14",,"Carex bromoides Schkuhr ex Willd.",brome-like sedge
"CABRB6",,"Carex bromoides Schkuhr ex Willd. ssp. bromoides ",brome-like sedge
"PORI3",,"Potentilla rivalis Nutt.",brook cinquefoil
"POSC2",,"Polygala scoparioides Chod.",broom milkwort
"GUSA2",,"Gutierrezia sarothrae (Pursh) Britton & Rusby",broom snakeweed
"ANVI2",,"Andropogon virginicus L.",broomsedge bluestem
"ANVIV",,"Andropogon virginicus L. var. virginicus ",broomsedge bluestem
"BRJU",,"Brassica juncea (L.) Czern.",brown mustard
"CLBR7",,"Clinopodium brownei (Sw.) Kuntze",Browne's savory
"RUTR2",,"Rudbeckia triloba L.",browneyed Susan
"RUTRT",,"Rudbeckia triloba L. var. triloba ",browneyed Susan
"RHCA12",,"Rhynchospora capitellata (Michx.) Vahl",brownish beaksedge
"STPA4",,"Stephanomeria pauciflora (Torr.) A. Nelson",brownplume wirelettuce
"PAPL3",,"Paspalum plicatulum Michx.",brownseed paspalum
"URFU2",,"Urochloa fusca (Sw.) B.F. Hansen & Wunderlin",browntop signalgrass
"TRGL",,"Tragia glanduligera Pax & K. Hoffm.",brush noseburn
"LAAC",,"Lantana achyranthifolia Desf.",brushland shrubverbena
"PEBU",,"Penstemon buckleyi Pennell",Buckley's beardtongue
"TRBU",,"Tridens buckleyanus (L.H. Dewey) Nash",Buckley's fluffgrass
"YUCO",,"Yucca constricta Buckley",Buckley's yucca
"TRRE2",,"Trifolium reflexum L.",buffalo clover
"SORO",,"Solanum rostratum Dunal",buffalobur nightshade
"BODA2",,"Bouteloua dactyloides (Nutt.) J.T. Columbus",buffalograss
"PECI",,"Pennisetum ciliare (L.) Link",buffelgrass
"RHPH2",,"Rhynchosida physocalyx (A. Gray) Fryxell",buffpetal
"PABU",,"Panicum bulbosum Kunth",bulb panicgrass
"OPCR",,"Ophioglossum crotalophoroides Walter",bulbous adderstongue
"OPCRC",,"Ophioglossum crotalophoroides Walter var. crotalophoroides ",bulbous adderstongue
"CABU3",,"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.",bulbous bittercress
"PHAQ",,"Phalaris aquatica L.",bulbous canarygrass
"LUBU",,"Luzula bulbosa (Alph. Wood) Smyth & Smyth",bulbous woodrush
"LEMO",,"Leersia monandra Sw.",bunch cutgrass
"SEAD",,"Setaria adhaerens (Forssk.) Chiov.",bur bristlegrass
"QUMAM",,"Quercus macrocarpa Michx. var. macrocarpa ",bur oak
"QUMA2",,"Quercus macrocarpa Michx.",bur oak
"MEPO3",,"Medicago polymorpha L.",burclover
"EUAT5",,"Euonymus atropurpureus Jacq.",burningbush
"BASC5",,"Bassia scoparia (L.) A.J. Scott",burningbush
"SCBR2",,"Scleropogon brevifolius Phil.",burrograss
"EUAM9",,"Euonymus americanus L.",bursting-heart
"ENCH",,"Enteropogon chlorideus (J. Presl) W.D. Clayton",buryseed umbrellagrass
"CRFR",,"Croton fruticulosus Engelm. ex Torr.",bush croton
"IPLE",,"Ipomoea leptophylla Torr.",bush morning-glory
"MUPO2",,"Muhlenbergia porteri Scribn. ex Beal",bush muhly
"CUPEP3",,"Cuscuta pentagona Engelm. var. pubescens (Engelm.) Yunck.",bushclover dodder
"CABU5",,"Carex bushii Mack.",Bush's sedge
"FUBU",,"Fuirena bushii Kral",Bush's umbrella-sedge
